Nombre Peaje,Latitud,Longitud,Operador,Tipo Operador,Ubicacion,Sector,Tarifa Categoria I,Tarifa Categoria II,Tarifa Categoria III,Territorial,Telefono Peaje,Telefono Grua,Ficha Oficial INVIAS
LEBRIJA,7.10312711700004,-73.188611598,FINDETER,Concesión,Vía Fortuna - Bucaramanga Km 65+500 Jurisdicción del municipuio de Lebrija,Lebrija - Palenque,$7.200,$8.200,$19.600,22,3188884392,,
RÍONEGRO,7.24326752600007,-73.149403777,FINDETER,Concesión,Vía Bucaramanga - Rionegro Km 13,La cemento - Rionegro,$7.200,$8.200,$19.600,22,6569259,,
SAN CARLOS,8.70998500000007,-75.716599,Concesión Ruta al Mar,Concesión,Vía Montería - San Carlos ubicado sobre el Km - 9+700,Monteria - San Carlos,$15.800,$23.200,$23.200,11,,3216177100,
GUATAQUÍ,4.56443500000006,-74.797319,Concesión Alto Magdalena,Concesión,Km 3 Ruta 45,Tramo que cubre la via Guataquí - Cambao - Honda,$12.800,$17.800,$24.400,12,3219738507,3219738507,
ROZO,3.64389600000004,-76.381091,No definido,Por definir,Vía Palmaseca - Cerrito Km 17,Palmaseca - El Cerrito,$11.000,$13.300,$35.300,25,,,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/6004.pdf
VILLARICA,3.15127600000005,-76.460045,No definido,Por definir,Kilometro 91 Vía Panamericana Jurisdicción del Municipio de Villa Rica,Popayán - Jamundí,$11.000,$13.300,$35.300,8,,,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/5607.pdf
MEDIACANOA,3.75991200000004,-76.411322,CONCESION ANI,Concesión,Vía Cali – Mediacanoa Km 36+600,Yumbo - Mediacanoa,$11.000,$13.300,$35.300,25,,,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/5606.pdf
CERRITO,3.71302200000002,-76.31918,CONCESION ANI,Concesión,Vía Cali - Andalucia Km 43+200,Cali - Palmira - Buga,$11.000,$13.300,$35.300,25,,,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/5605.pdf
CENCAR,3.55733700000008,-76.462683,CONCESION ANI,Concesión,Vía Yumbo – Aeropuerto Km 2+950,Cali - Yumbo,$11.000,$13.300,$35.300,25,,,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/5604.pdf
PASO DE LA TORRE,3.62760200000002,-76.4576509999999,No definido,Por definir,Vía Vijes – Rozo Km 1+500,Paso de La Torre - Siberia (Variante Yumbo),$11.000,$13.300,$35.300,25,,,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/5205.pdf
CIAT,3.52344900000003,-76.3432789999999,CONCESION ANI,Concesión,Vía Cali – Andalucía Km 17+300,Cali - Palmira - Buga,$11.100,$13.400,$35.800,25,,,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/5204.pdf
TUNIA (SINIESTRADA),2.70169011300004,-76.536811321,INVIAS,INVIAS,Kilometro 31+100 Vía Panamericana Popayan – Cali,Popayán - Jamundí,,,,8,,,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/4805.pdf
