"point","Nombre Peaje","Ubicación","Sector","Sentido","Poste de Referencia PR","Distancia PR","Telefono Grúa","Telefono Peaje","URL Foto","Categoria I","Categoria II","Categoria III","Categoria IV","Categoria V","Categoria VI","Categoria VII","Categoria VIII","Categoria IX","Categoria E","Categoria EAE","Categoria EC","Categoria EIE","Categoria IE","Categoria IEE","Categoria IEEE","Categoria IEX","Categoria IIA","Categoria IIE","Categoria IIIE","Categoria IVE","Categoria VE","Categoria VIE","Categoria VIIE","Administrador","Código Peaje","Código Tramo","Eje Adicional","Eje Adicional R","Eje Grua","Latitud","Longitud","Responsable","Territorial"
"POINT (-73.560015 8.09234900000007)","MORRISON","Km 28+500 Vía San Alberto – Aguaclara","San Alberto - La Mata","Norte – Sur – Norte","39","653","Por Definir","3165280395","https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3995.pdf","12,300","13,300","27,300","34,800","39,500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","74","4514","11,000","10,800","7,800","8.09234873","8.09234873","Concesión ruta el sol","26"
"POINT (-74.500107 4.26937800000007)","CHINAUTA","Soacha – Girardot Km 52","Girardot - Silvania - Bogotá (Bosa)","Sur - Norte // Norte - Sur","51","1,059","3104224687 - 3117872339 - 3117903187","3104224687 - 3117872339 - 3117903187","http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","13,300","14,900","31,500","51,100","58,600","0","0","0","0","0","0","0","2,700","2,700","0","0","0","0","0","0","0","0","0","0","2","53","4005","10,100","9,800","6,600","4.2693784","4.2693784","Concesión Vía 40 Express","12"
"POINT (-76.118437533 4.25246825100004)","LA URIBE","Vía Andalucía – Cerritos Km 12+300","Andalucía - La Paila -La Victoria","Norte – Sur  / Sur - Norte","12","296","2238660 - 3155602442","3155602442","http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","8,400","10,800","25,300","34,300","38,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","155","2506","0","0","0","4.25246825","4.25246825","PISA Proyectos de Infraestructura S.A.","25"
"POINT (-74.719094 4.94641200000007)","CAMBAO","VÍA BUCARAMANGA - SAN GIL","San Gil - Bucaramanga","Aplica en ambos sentidos","5","0","3219738507","3219738507",,"12,800","17,800","24,400","32,600","46,100","74,600","85,200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","70","4509","0","0","6,300","4.94629035","4.94629035","Concesión Alto Magdalena","28"
"POINT (-72.206138266 5.52491058900006)","LA NEVERA (NO OPERATIVO)","Paz de Ariporo - Yopal Km. 34+900","Paz de Ariporo - Yopal","Bidireccional","34","900","Por Definir","Por Definir",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",,"6513","0","0","0","5.52491059","5.52491059","INVÍAS","7"
"POINT (-74.991661 4.50760900000006)","ALVARADO","Vía Andalucía – Y de Cerritos PR2506 Km 86","La Victoria - Cartago - Cerritos","Norte-Sur -  y -  Sur-Norte","19","780","350 666-6375 - 350666-6386","3506666383 - 3506666384 - 3506666385","http://hermes.invias.gov.co/carreteras/images/peajes/alvarado.jpg","13,700","14,600","15,200","15,900","33,500","45,900","49,700","0","0","0","0","0","7,200","8,200","0","0","0","0","0","0","0","0","0","0","2","62","4305","0","0","0","4.50323502","4.50323502","Concesionaria Alternativas Viales  S.A.S","24"
"POINT (-76.6655939999999 3.76300400000002)","LOBOGUERRERO","VÍA BUENAVENTURA - BUGA KM 63+700 Tramo que cubre: Desde el PR 63+310 en Loboguerrero y finaliza en el PR 118+418 en Buga","Cruce Ruta 40 (Loboguerrero) - Buga","Norte – Sur  / Sur - Norte","63","228","3228171095","3228171095","http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","10,300","11,500","27,400","35,900","40,700","0","0","0","0","0","0","6,600","0","600","0","0","0","0","600","0","0","0","0","0","2","47","4001","11,000","23,100","7,000","3.76297032","3.76297032","CONSORCIO NQS","25"
"POINT (-75.530099 8.30157200000002)","MANGUITOS","Vía Caucasia – Planeta Rica (Municipio de Plaza Bonita) Cubre Tramo Buenavista – Planeta Rica","Caucasia - Planeta Rica","Aplica en ambos sentido","52","138","3216177100","Por Definir","http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","16,100","23,700","23,700","23,700","42,700","67,800","78,000","0","0","0","0","0","6,600","4,700","8,400","0","0","0","13,800","13,800","13,800","0","0","0","2","29","2513","0","0","0","8.30157219","8.30157219","Concesión Ruta al Mar","11"
"POINT (-74.179344 4.69870000000003)","RÍO BOGOTÁ","Fontibon - Mosquera","Los Alpes - Madrid - Bogotá (Rio Bogotá)","Oriente  - Occidente Bogotá  -  Faca","1","485","300 2134184 - 310 3042774 - #235 Tigo -  Movistar y Claro","3792200 – 8930977","http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","11,800","17,600","15,400","20,300","34,400","46,400","50,200","0","0","0","0","0","0","500","0","0","0","0","500","500","500","0","0","0","1","96","5008A","0","0","0","4.6985906","-74.179112","INVIAS","12"
"POINT (-74.05033 4.45458400000007)","BOQUERÓN II","Vía Rio Negro – San Alberto Km  53+100","Río Negro - San Alberto","Occidente – Oriente // Oriente – Occidente","11","1,051","3123060332 - 3105851322 -3105851325 y #713","3123063223 - 3123030336 – 3105851322","http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","16,500","48,500","24,500","64,100","72,300","80,300","96,200","0","0","0","0","0","0","400","1,800","6,100","0","0","12,700","400","0","0","0","0","2","56","40CN01","0","0","8,000","4.45458448","4.45458448","COVIANDINA S.A.S.","12"
"POINT (-73.706421 3.63303700000006)","IRACÁ","Vía Villavicencio – Granada Km 7+200","Ye de Granada - Paso por el Puente sobre el Río Ocoa","Sur","6","919","(578) 668 49 90-91","(8) 6700868 - #765 018000918624","http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","13,100","25,300","19,200","33,100","48,800","64,500","70,100","0","0","0","0","0","0","4,900","0","0","0","0","0","0","0","0","0","0","2","118","6509","0","0","0","3.63304276","3.63304276","Concesión Autopistas de los Llanos","16"
"POINT (-75.824585 8.84519800000004)","LOS GARZONES 1","Vía Monteria - Lorica Km. 1 más 320 metros","Montería - Cereté","GARZONES 1 SUR – NORTE","1","320","3184095455 – 3182406622","3124964386","http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","6,100","15,600","24,200","30,600","35,000","0","0","0","0","0","0","0","0","2,400","6,500","0","0","0","4,600","0","0","0","0","0","1","1","2103","0","0","0","8.84220992","-75.824447","INVIAS","11"
"POINT (-72.9689789999999 7.10796900000003)","EL PICACHO","Bucaramanga - Pamplona","Cuestaboba - Pamplona","Sur - Norte  -  Norte - Sur","48","0","3124516349 - 3176462257 y 3004723174","3124516349 - 3176462257 y 3004723174","http://hermes.invias.gov.co/carreteras/images/peajes/el_picacho.jpg","12,400","13,900","28,400","36,200","40,700","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","127","6603","12,500","12,100","9,200","7.10799364","-72.968984","INVIAS","22"
"POINT (-74.291145 4.74872200000004)","EL CORZO","El Corzo - Madrid","El Corzo - Madrid","Occidente - Oriente Faca  - Bogota","57","513","(571) 893 09 77","3792200 – 8930977 300 2134184 - 310 3042774 - #235 Tigo -  Movistar y Claro","http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","11,800","17,600","15,400","20,300","34,400","46,400","50,200","0","0","0","0","0","0","500","0","0","0","0","500","500","500","0","0","0","1","95","5008A","0","0","0","4.74867879","-74.2911216","INVIAS","12"
"POINT (-75.526595507 6.34510075000003)","NIQUÍA","Km 15+000 Autopista norte","Medellìn - Hoyo Rico","Norte","0","0","(054) 312 11 99-325 06 60","4678141 - 3108992853 - 3108992853 - 2544670 - 01-8000-522-44-77","http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","2,500","2,500","3,200","3,400","3,400","3,400","3,400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","156","2510","0","0","0","6.34510075","6.34510075","Concesión Hatovial S.A.S","1"
"POINT (-72.156624 11.3676140000001)","PARAGUACHÓN","Ubicación: 84+475 Tramo que cubre:Cuatro vías - Paraguachón","Riohacha - Paraguachón","Aplica en ambos sentido de circulación","84","476","(5) 728 85 43","3143300807 - (5) 7288542 /43","http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","12,300","19,000","15,300","24,100","35,200","56,600","71,400","0","0","2,900","0","0","4,800","5,500","0","0","3,300","0","3,300","3,300","3,300","0","0","0","2","145","9010","0","0","0","11.36760313","11.36760313","Concesión  Santa Marta Paraguachón S.A.","13"
"POINT (-74.4831854 4.88341307600007)","GUAYABAL","Peaje Rio Bogotá – Facatativa – Villeta – Viani – Cambao Km 63 Jurisdicción del Municipio de Guayabal","Guayabal de Síquima - Cambao","Norte - occidente // occidente - norte","0","0","3138879089","3184666166","http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","12,400","16,800","14,100","19,600","35,300","45,700","55,000","0","0","0","0","0","7,900","0","0","0","0","0","11,900","9,700","13,300","24,500","32,100","0","3","162",,"0","0","0","4.88341308","4.88341308","CONCESIÓN PANAMERICANA","12"
"POINT (-75.074777 6.53633000000002)","CISNEROS","KM 03+000 RUTA 6206. Via Cisneros - Puerto Berrio","Cisneros - Alto de Dolores","Aplica en ambos sentidos. Tramo que cubre: Cisneros - Antes de la entrada a la vía secundaria hacia","1","240","311 739 5570 – 018000413724 – (4) 8603102","321 812 2264","http://hermes.invias.gov.co/carreteras/images/peajes/cisneros.jpg","18,000","21,900","21,900","21,900","49,000","63,700","71,400","0","0","0","0","0","1,600","3,100","0","0","0","0","3,400","0","0","0","0","0","2","46","6206","8,700","8,400","6,400","6.53633032","6.53633032","Concesión Vías del Nus – VINUS S.A.S","1"
"POINT (-75.587418 5.02706200000006)","PAVAS (TRINIDAD I)","Club Campestre – La Trinidad Km. 1 + 200","Club Campestre - La Trinidad","Ambos sentidos de circulación","1","211","3138176567 #850","(6) 3282720","http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","14,600","17,500","17,500","17,500","42,600","53,200","61,600","0","0","0","0","0","3,200","3,700","0","0","0","0","4,100","4,300","0","0","0","0","2","44","29CL03-1","0","0","0","5.02705324","5.02705324","CONCESIÓN AUTOPISTAS DEL CAFE","5"
"POINT (-72.943748 4.67860900000005)","SAN PEDRO","Villanueva - Monterrey Km.15+000","Barranca de Upía - Monterrey","Bidireccional","0","0","3178942293  - 018000180818","3168341260","http://hermes.invias.gov.co/carreteras/images/peajes/san_pedro.jpg","10,800","11,600","24,600","31,300","35,000","0","0","0","0","0","0","0","2,300","2,600","0","0","0","0","0","0","0","0","0","0","2","122","6511","8,700","8,400","6,400","4.67858553","4.67858553","Concesiónaria Vial del Oriente - COVIORIENTE S.A.S","7"
"POINT (-74.501381 6.49666200000007)","PUERTO BERRÍO","Vía Alto de Dolores - Puerto Berrío","Cisneros - Puerto Berrío (Incluye el Puente sobre el Río Magdalena)","Aplica en ambos sentido de circulación","85","295","0348326778","3183729221","http://hermes.invias.gov.co/carreteras/images/peajes/puerto_berrio.jpg","10,900","12,100","12,100","12,100","24,800","31,500","35,500","0","0","0","0","0","2,000","2,300","0","0","0","0","2,500","0","0","0","0","0","2","115","6206","8,700","8,400","6,400","6.49664966","6.49664966","Concesión Autopistas del Río Magdalena","1"
"POINT (-74.033081 4.83000300000003)","ANDES","Sector Bogotá (calle 236)-Briceño","Bogotá-La Caro-Tunja","Sur Norte Aplica Únicamente saliendo de Bogotá","2","723","676 06 52","6760652 - 6762948  3125194023 – 3125196546","http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","11,100","19,200","12,500","27,800","42,100","54,000","59,900","0","0","0","0","0","0","0","0","0","0","0","15,700","0","0","0","0","0","2","79","5501","0","0","8,000","4.82267931","4.82267931","CONCESIÓN ACCENORTE","12"
"POINT (-74.945015 10.208106)","CALAMAR","Tramo que cubre:Vía Aguztín Codazzi - San Diego","San Roque - La Paz","Ambos sentidos de circulación","131","39","3162954845 - #270 Claro","3162954845","http://hermes.invias.gov.co/carreteras/images/peajes/calamar.jpg","16,300","20,100","25,000","31,600","48,200","0","0","0","0","0","0","0","2,700","3,100","0","0","0","0","0","0","0","0","0","0","2","33","2515","8,700","8,400","8,500","10.20812679","10.20812679","Concesión Montes de Maria","2"
"POINT (-75.599995129 5.39159787600005)","SUPÍA","Vía La Felisa – La Pintada","La Felisa - La Pintada","Ambos sentidos de circulación","63","434","LINEA GRATUITA: 018000423780 LINEA CELULAR: 3219738470","3219738470","http://hermes.invias.gov.co/carreteras/images/peajes/supia.jpg","16,100","21,300","21,300","21,300","47,800","69,600","77,700","0","0","0","0","7,500","0","0","0","0","0","0","0","0","0","0","0","0","2","20","2508","8,700","8,400","6,400","5.39159788","5.39159788","Concesión Pacífico Tres","5"
"POINT (-75.2037579999999 3.39378700000003)","EL PATÁ","Vía Neiva – Castilla Km 54+400 Jurisdicción de Aipe","Neiva - Natagaima","Aplica en ambos sentidos de circulación","53","376","667 10 30","3153340727 – 3174340907 - 3502621485","http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","15,700","19,400","23,900","30,300","46,300","58,000","67,100","0","0","0","0","0","0","1,600","0","0","0","0","0","5,300","0","0","0","0","2","67","4506","0","0","0","3.39380979","3.39380979","Concesión Autovía Neiva – Girardot","14"
"POINT (-75.30281 8.03150800000003)","LA APARTADA","Vía Caucasia – Planeta Rica  Km 12","Caucasia - Planeta Rica","Sur – Norte","11","831","3216177100","3102467118","http://hermes.invias.gov.co/carreteras/images/peajes/la_apartada.jpg","14,000","20,700","20,700","20,700","37,500","59,700","68,700","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","28","2513","0","0","0","8.03128061","8.03128061","Concesión Ruta al Mar","11"
"POINT (-74.185028 4.78040200000004)","SIBERIA","Bogotá (El Cortijo) – Siberia – La Punta – El Vino – Villeta","Villeta - Bogotá","Ambos sentidos de circulación","135","913","5939260","5939260 – 3185577768 – 3102613190 - 3002149460","http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","13,800","19,600","16,500","21,900","38,300","51,200","56,300","5,800","8,000","0","0","0","5,600","6,400","0","0","0","0","9,200","7,500","10,300","0","0","0","2","92","5008","0","0","0","4.78035984","4.78035984","CONCESIÓN SABANA DE OCCIDENTE","12"
"POINT (-74.808983 9.79138800000004)","PUENTE PLATO","KM 0+150  Vía Plata – Pueblo Nuevo","Plato – Pueblo Nuevo","Sur – Norte","0","323","018000945566 Opción 1","3165280403","http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","11,700","14,600","30,500","43,200","46,200","0","0","0","0","2,600","0","0","0","2,900","0","0","0","0","0","0","0","0","0","0","2","131","8002","9,000","8,700","6,500","9.79136573","9.79136573","Concesión (Yuma)","15"
"POINT (-74.820282 5.20158400000003)","HONDA","Km 35 + 100 Vía Mariquita – Honda","Fresno - Honda","Norte – Sur  / Sur - Norte","35","75","350 666-6375 - 350666-6386","3506666383 - 3506666384 - 3506666385","http://hermes.invias.gov.co/carreteras/images/peajes/honda.jpg","13,700","14,600","15,200","15,900","33,500","45,900","49,700","0","0","0","0","0","5,200","6,000","0","0","0","0","0","0","0","0","0","0","2","91","5007","0","0","0","5.20150747","5.20150747","Concesionaria Alternativas Viales SAS.","24"
"POINT (-74.956105 10.967563)","PUERTO COLOMBIA","Vía al Mar Km 93","Cartagena - Lomita Arena","Ambos sentidos de circulación","93","572","018000977330 - 3114803629","3124572706 - 3157210245 o #212 Movistar / 3106303666 o #211 Claro / 3004510014 o #211 Tigo","http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","17,200","25,800","18,900","32,800","102,000","135,800","150,700","0","0","0","0","0","0","12,600","0","0","0","0","19,100","0","0","0","0","0","2","147","90A01","0","0","0","10.96756325","10.96756325","Concesión Costera - Barranquilla - Cartagena","2"
"POINT (-75.8198619999999 9.09145900000004)","MATA DE CAÑA","Vía Monteria - Lorica Km 32+700 Metros","Cereté - Lorica","Sur – Norte","32","632","3216177100","3102468199 - 3145007265","http://hermes.invias.gov.co/carreteras/images/peajes/mata_de_cana.jpg","15,800","23,200","23,200","23,200","24,700","36,000","36,100","0","0","0","0","0","0","8,400","0","0","0","0","12,500","0","0","0","0","0","2","2","2103","0","0","0","9.09142567","9.09142567","Concesión Ruta al Mar","11"
"POINT (-73.952462 6.64532600000007)","AGUAS NEGRAS","Vía Rio Ermitaño La Lizama Km 84","Río Ermitaño - La Lizama","Aplica en ambos sentido de circulación","83","900","Por Definir","3165298177","https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3937.pdf","13,500","17,000","39,500","47,300","55,600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","72","4511","11,000","10,800","8,100","6.64532648","6.64532648","Concesionaria Ruta Del Sol","22"
"POINT (-73.5835039999999 5.29067700000007)","ALBARRACÍN","Vía Bogotá Tunja KM 82+200 -  Jurisdicción Villa Pinzón (Cundinamarca)","Chocontá - Tunja","Ambos sentidos de circulación","80","2,261","3174422284 // 3174341120 // 3174341030 // 3164086968","3203409278","http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","10,300","11,400","29,300","36,200","42,600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","103","5501","8,200","6,800","0","5.29046083","5.29046083","Concesión Briceño - Tunja - Sogamoso","4"
"POINT (-75.606506 9.46567700000003)","CAIMANERA",,"Coveñas - San Onofre","Sur – Norte","41","129","3216177100","3153483271","http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","15,300","22,100","22,100","22,100","40,000","63,400","73,100","0","0","700","0","0","0","800","0","0","1,000","0","800","800","800","0","700","0","2","136","9004","0","0","8,000","9.46562409","9.46562409","Por Definir","11"
"POINT (-75.555374468 5.09425114600003)","QUIEBRA DE VELEZ",,"Tres Puertas - Quiebra de Vélez - Manizales",,"0","0",,,"http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","3,100","9,600","0","33,000","37,600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","171",,"0","0","0","5.09425115","5.09425115",,"5"
"POINT (-75.5312729999999 6.15063000000004)","LAS PALMAS","Km. 5 RUTA 5601 Vía Medellín -  La Ceja","Glorieta Las Palmas - La Unión","Oriente – Occidente","0","0","(4) 4446178 - 2228085 - 4602225","(4) 4446178 - 2228085 - 4602225","http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","12,200","14,700","14,700","14,700","32,300","43,300","48,500","0","0","0","0","0","6,400","7,300","5,000","0","0","0","200","0","200","200","0","0","2","106","5601","0","0","0","6.15067302","6.15067302","Concesión Túnel Aburrá - Oriente S.A.","1"
"POINT (-72.57132 7.72137200000003)","LOS ACACIOS","Km 119+900","Pamplona - Cúcuta","Aplica en ambos sentidos","118","1,646","3203452139","(7) 5767878","http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","7,900","11,100","24,700","31,800","36,200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","105","5505","8,800","8,500","6,300","7.72138208","7.72138208","CONCESIÓN UNIÓN  VIAL RÍO PAMPLONITA","18"
"POINT (-75.598846 5.04866200000004)","SANTAGUEDA","Cruce Guayacanes – La Manuela Km 6","Chinchiná - La Manuela","Ambos sentidos de circulación","6","1,092","3138176567 #850","(6) 3282720","http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","14,600","17,500","17,500","17,500","42,600","53,200","61,600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","43","29CL03","0","0","0","5.04864826","5.04864826","CONCESIÓN AUTOPISTAS DEL CAFE","5"
"POINT (-76.2533831599999 3.97204071900006)","BETANIA","Km 14 Vía Aguasclaras – Ocaña","Aguaclara - Río de Oro","Sur - Norte // Norte - Sur","78","131","3155602442","3155602442","http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","8,200","10,600","25,000","34,000","37,700","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","35","25505","0","0","0","3.97204072","3.97204072","PISA Proyectos de Infraestructura S.A.","25"
"POINT (-73.5967029999999 4.19417200000004)","PUENTE AMARILLO","Conexión Anillo vial Cumaral Km 7+135","Cumaral - Barranca de Upía","Bidireccional","7","133","3178942293  - 018000180818","3168341260","http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","4,800","16,000","10,200","16,000","22,600","30,100","34,100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","120","6510","0","0","0","4.19414181","4.19414181","Concesión Vial del Oriente - COVIORIENTE S.A.S","16"
"POINT (-74.880531 4.24550200000004)","CHICORAL","Km. 17+0350 de la ruta 4004B que corresponde a la vía Variante de Chicoral","Variante Chicoral","Aplica en ambos sentidos de circulación","0","6,493","3212087489","3138863287","http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","13,800","15,100","13,800","17,900","36,100","48,000","53,000","0","0","0","0","0","5,900","0","0","0","0","0","0","0","0","0","0","0","2","52","4004B","10,100","9,900","7,100","4.2454536","4.2454536","Concesionaria San Rafael  S.A.","24"
"POINT (-73.463287 4.05697000000004)","LA LIBERTAD","Vía Villavicencio – Puerto López Km 18+900","Villavicencio - Paso por el Puente sobre el Río La Balsa -Puerto Lopez","Oriente","17","585","3223472204 - #765","(8) 6700868 – 3115615494","http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","16,900","32,700","26,200","43,100","63,700","83,600","95,900","0","0","6,100","0","0","0","7,900","0","0","0","0","0","0","0","0","0","0","2","59","4007","0","0","0","4.05685996","4.05685996","Concesión Autopistas de los Llanos","16"
"POINT (-75.763725 8.63071100000008)","PURGATORIO","Via Planeta Rica – Montería Km 32+500 Recorrido 49 KMS","Caucasia - Planeta Rica","Aplica en ambos sentido de circulación","32","672","0947911207","3116346239 - 3116346139","http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","16,100","23,700","23,700","23,700","42,700","67,800","78,000","0","0","0","0","0","0","8,400","2,500","0","0","400","12,500","10,400","10,400","0","0","0","2","6","2513","0","0","0","8.63065943","8.63065943","Concesión Ruta al Mar","11"
"POINT (-74.456992 6.29471400000006)","ZAMBITO","Vía Rio Ermitaño La Lizama Km 6","Río Ermitaño - La Lizama","Aplica en ambos sentido de circulación","9","300",,"3165298178","https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3920.pdf","13,500","17,000","39,500","47,300","55,600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","71","4511","11,000","10,800","7,800","6.29471399","6.29471399","Concesionaria Ruta Del Sol","22"
"POINT (-77.408655204 1.08728410200007)","EL PLACER 2","A un Kilometro del Municipio de Tangua Km. 56+050","Puente Internacional Rumichaca - San Juan de Pasto","Aplica en ambos sentidos de circulación","56","81","Móvil1: 3174275839 -  atiende los municipios Ipiales -  Contadero e Iles Móvil 2: 3174042366 -  atiende a los Municipios de Imués -  Yacuanquer -  Tangua y Pasto","3173682092 – 3173310921","http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","12,300","15,000","29,500","36,900","39,800","0","0","0","0","0","0","0","0","5,800","0","0","0","0","7,600","0","0","0","0","0",,"9","2501","0","0","0","1.0872841","1.0872841","Concesionaria Víal Uníon del Sur","17"
"POINT (-75.264267 10.136159)","GAMBOTE","Km 61+400 Ruta 9005 Troncal de Occidente","Cruz del Viso - Cartagena","Ambos sentidos de circulación","61","583","3212057227","3212057230","http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","11,200","12,400","27,500","36,600","41,800","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","138","9005","8,700","8,400","6,000","10.13613313","10.13613313","Ruta Caribe","3"
"POINT (-74.168495 10.608983)","TUCUNICA","KM 50 Rio Ariguani – Ye de Cienaga","Paso Nacional por Aracataca - Ye de Ciénaga","Norte – Sur","48","678","018000945566 Opción 1","3176486588","http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","10,900","11,900","27,800","36,400","42,200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12,300","16,100","18,700","0","0","2","78","4518","10,300","9,800","7,000","10.60894721","10.60894721","Concesión (Yuma)","15"
"POINT (-74.7314643409999 4.40331639000004)","PUBENZA","Vía Chía – La Mesa – Girardot Km 16  Jurisdicción del Municipio de Tocaima","Girardot - Tocaima","Norte - Sur // Sur Norte","0","0","#815 Tigo - 018000953550","#815 Tigo - 018000953550","http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","8,500","9,600","10,900","14,400","21,000","28,000","32,200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","170",,"0","0","0","4.40331639","4.40331639","CONCESIÓN DEVISAB","12"
"POINT (-74.171477243 4.74462434300005)","LA TEBAIDA","Kilómetro 8 Vía Mosquera - Chía Jurisdicción del Municipio de Funza","Funza - Cota","Sur - Norte // Norte - Sur","0","0","*815 - 018000953550","*815 - 018000953550","http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","11,200","13,500","13,500","15,600","34,500","42,400","44,800","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","165",,"0","0","0","4.74462434","4.74462434","CONCESIÓN DEVISAB","12"
"POINT (-74.0733949999999 4.45259900000002)","BOQUERÓN I","Tramo que cubre:Vía Rincón Hondo - Agustín Codazzi","San Roque - La Paz","Occidente – Oriente // Oriente – Occidente","4","122","3123060332 - 3105851322 -3105851325 y #713","3123063223 - 3123030336 – 3105851322","http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","16,500","48,500","24,500","64,100","72,300","80,300","96,200","0","0","0","0","0","400","400","1,800","6,100","0","0","12,700","400","0","0","0","0","2","55","4006","0","0","8,000","4.45254251","4.45254251","COVIANDINA S.A.S.","12"
"POINT (-75.490621142 10.342343514)","LA HEROICA","Variante Mamonal - Gambote","Variante Mamonal - Gambote","Ambos sentidos de circulación","0","0","(57) (5)6609002 - 6607822 - 6609125","(57) (5)6609002 - 6607822 - 6609125","http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","2,900","4,600","8,200","10,700","16,400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","179",,"0","0","0","10.34234351","10.34234351","CONVIAL","3"
"POINT (-75.4505589999999 10.574535)","MARAHUACO","Km 16 Vía Cartagena  - Barranquilla","Cartagena - Lomita Arena","Ambos sentidos de circulación","15","949","018000977330 - 3114803629","3124572713 - 3157210245 Ó # 212 Movistar / 3106303666 Ó # 211 Claro / 3004510014 Ó # 211 Tigo","http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","18,400","27,600","20,200","35,000","109,100","145,500","161,600","0","0","0","0","0","0","2,400","0","0","0","0","2,400","0","0","0","0","0","2","146","90A01","0","0","0","10.57453506","10.57453506","Concesión Costera - Barranquilla - Cartagena","3"
"POINT (-75.505280332 5.12551851000006)","LA ESTRELLA",,"Manizales - Neira",,"0","0",,,"http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","6,100","7,100","0","22,500","25,300","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","164",,"0","0","0","5.12551851","5.12551851",,"5"
"POINT (-75.599368636 6.33180205000002)","PAJARITO",,"Medellín - San Pedro",,"0","0",,,"http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","6,000","6,800","0","18,800","21,600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","168",,"0","0","0","6.33180205","6.33180205",,"1"
