"point","Nombre Peaje","Ubicación","Sector","Sentido","Poste de Referencia PR","Distancia PR","Telefono Grúa","Telefono Peaje","URL Foto","Categoria I","Categoria II","Categoria III","Categoria IV","Categoria V","Categoria VI","Categoria VII","Categoria VIII","Categoria IX","Categoria E","Categoria EAE","Categoria EC","Categoria EIE","Categoria IE","Categoria IEE","Categoria IEEE","Categoria IEX","Categoria IIA","Categoria IIE","Categoria IIIE","Categoria IVE","Categoria VE","Categoria VIE","Categoria VIIE","Administrador","Código Peaje","Código Tramo","Eje Adicional","Eje Adicional R","Eje Grua","Latitud","Longitud","Responsable","Territorial"
"POINT (-74.6846173499999 5.20310293600005)","BICENTENARIO","Villeta - Puerto Salgar","Honda - Villeta","Ambos sentido de circulación","7","975","Por Definir","3232059073","https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3847.pdf","13,000","17,000","39,600","48,000","55,700","0","0","0","0","0","0","0","0","6,500","0","0","0","0","8,100","0","0","0","0","0","1","94","5008","12,500","12,100","9,100","5.20310294","-74.68461735","INVIAS","12"
"POINT (-77.428397 1.06457300000005)","EL PLACER","Nariño - Tangua","Rumichaca - Pasto",,"0","0","Por Definir","Por Definir",,"14,200","17,200","33,600","42,000","45,300","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",,"2501","0","0","0","0","0","Por Definir","28"
"POINT (-74.8947039999999 7.63328800000005)","ZARAGOZA","Antioquia - Zaragoza","Autopista Conexión Norte",,"21","310","Por Definir","Por Definir",,"15,900","19,700","19,700","19,700","46,700","58,600","67,500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",,"25AN17","0","0","0","0","0","Por Definir","28"
"POINT (-75.859962863 4.79340820900006)","CERRITOS II","Vía Andalucía – Y de Cerritos PR2506 Km 86","La Victoria - Cartago - Cerritos","Sur – Norte","85","867","Por Definir","3128509233 - 3113042754 - 3132158","http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","15,200","17,300","42,900","56,100","64,300","0","0","0","0","0","0","0","0","3,300","0","0","0","0","11,200","0","0","0","0","0","1","18","2506","19,200","1,900","13,000","4.79340821","-75.85996286","Concesionaria de Occidente","21"
"POINT (-76.049532448 4.66542497700004)","TORO","Mediacanoa - Ansermanuevo","Roldanillo - La Virginia","Sur - Norte // Norte - Sur","106","0","Por Definir","3102454238","https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3872.pdf","12,200","13,000","27,900","35,400","39,800","0","0","0","0","0","0","0","0","3,600","0","0","0","0","4,100","0","0","0","0","0","1","5","2302","12,500","12,100","9,100","4.66542498","-76.04953245","INVIAS","25"
"POINT (-77.284452436 1.42545608200004)","CANO","San Juan de Pasto - Cano","Pasto - Mojarras","Norte – Sur","36","0","Por Definir","Por Definir","https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3862.pdf","14,800","15,800","32,300","42,400","48,900","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","10","2502","14,100","13,800","9,400","1.42545608","-77.28445244","INVIAS","17"
"POINT (-76.851164685 2.18894946000006)","EL BORDO","Kilometro 60+800 Vía Panamericana Mojarras – Popayan","Mojarras - Popayán","Sur – Norte // Norte – Sur","61","300","Por Definir","3112363938 / 2800138","https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3975.pdf","12,400","13,900","28,400","36,100","40,800","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","11","2503","12,500","12,100","9,100","2.18894946","-76.85116469","INVIAS","8"
"POINT (-72.484164639 7.86745647200007)","LA PARADA","Km. 2 de la Autopista Internacional que comunica a Cúcuta con San Antonio","Cúcuta - Puente Internacional Simón Bolívar","Sentido San Antonio (Venezuela) - Cúcuta","1","792","320 345 2139","3104946611","http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","2,700","2,700","2,700","2,700","2,700","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","129","7010","2,700","0","2,700","7.86745647","-72.48416464","INVIAS","18"
"POINT (-73.4985723359999 8.23123833000005)","PLATANAL","Km 14 Vía Aguasclaras – Ocaña","Aguaclara - Río de Oro","Sur – Norte Ambos sentidos","14","200","Por Definir","Por Definir","https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3915.pdf","11,800","13,000","27,400","34,800","39,800","0","0","0","0","0","0","0","0","500","0","0","0","0","500","14,200","17,900","20,200","0","0","1","128","7007","12,500","12,100","9,100","8.23123833","-73.49857234","INVIAS","26"
"POINT (-73.263641967 7.63281900600003)","RÍO BLANCO","Rio Negro – San Alberto","Río Negro - San Alberto","Norte – Sur","62","960","Por Definir","3124570764","https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3823.pdf","12,400","13,900","28,400","36,100","40,800","0","0","0","0","0","0","0","0","500","0","0","0","0","500","0","0","0","0","0","1","86","45A08","12,500","12,100","9,100","7.55433129","-73.23110812","INVIAS","22"
"POINT (-75.468140396 6.83050248100005)","LOS LLANOS","KM 03+450 RUTA 2511 -  vía Medellin - La Costa","Los Llanos - Tarazá","Norte - Sur","3","500","(322 384 5814) este número también sirve para solicitar ambulancia","3102462831","https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3848.pdf","12,400","13,900","28,400","36,100","40,800","0","0","0","0","0","0","0","0","6,500","0","0","0","0","6,900","0","0","0","0","0","1","26","2511","12,500","12,100","9,100","6.83050248","-75.4681404","INVIAS","1"
"POINT (-75.393524024 7.58927623200003)","TARAZÁ","KM 01+200 RUTA 2512 -  Via Medellin - La Costa","Tarazá - Caucasia","Sur – Norte","1","300","(322 384 5814) este número también sirve para solicitar ambulancia","3102463888","https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3838.pdf","12,400","13,900","28,400","36,100","40,800","0","0","0","0","0","0","0","0","8,200","0","0","0","0","0","0","0","0","0","0","1","27","2512","12,500","12,100","9,100","7.58918891","-75.39364303","INVIAS","1"
"POINT (-75.484821096 8.60485611200005)","CARIMAGUA","Vía Planeta Rica - Sincelejo Km 26 + 300","Planeta Rica - La Ye","Sur – Norte","26","300","Por Definir","3102467110 - 3205221762","https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3821.pdf","17,700","25,300","25,300","25,300","45,900","72,800","84,100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","30","2514","0","0","0","8.60485611","-75.4848211","INVIAS","11"
